web_name,price_m,position,element_type
Aït-Nouri,6.0,DEF,2
Cucurella,6.0,DEF,2
Frimpong,6.0,DEF,2
Gabriel,6.0,DEF,2
Gvardiol,6.0,DEF,2
Kerkez,6.0,DEF,2
Robertson,6.0,DEF,2
Saliba,6.0,DEF,2
Virgil,6.0,DEF,2
Akanji,5.5,DEF,2
Aké,5.5,DEF,2
Branthwaite,5.5,DEF,2
Calafiori,5.5,DEF,2
Hall,5.5,DEF,2
J.Timber,5.5,DEF,2
James,5.5,DEF,2
Khusanov,5.5,DEF,2
Kiwior,5.5,DEF,2
Konaté,5.5,DEF,2
Lewis-Skelly,5.5,DEF,2
Matheus N.,5.5,DEF,2
Milenković,5.5,DEF,2
Mosquera,5.5,DEF,2
Murillo,5.5,DEF,2
Muñoz,5.5,DEF,2
Pedro Porro,5.5,DEF,2
Rúben,5.5,DEF,2
Schär,5.5,DEF,2
Stones,5.5,DEF,2
Tarkowski,5.5,DEF,2
White,5.5,DEF,2
Aina,5.0,DEF,2
Botman,5.0,DEF,2
Bradley,5.0,DEF,2
Burn,5.0,DEF,2
Chalobah,5.0,DEF,2
Collins,5.0,DEF,2
Colwill,5.0,DEF,2
De Ligt,5.0,DEF,2
Gomez,5.0,DEF,2
Gusto,5.0,DEF,2
Hato,5.0,DEF,2
Lacroix,5.0,DEF,2
Lewis,5.0,DEF,2
Lewis-Potter,5.0,DEF,2
Livramento,5.0,DEF,2
Martinez,5.0,DEF,2
Mazraoui,5.0,DEF,2
Mitchell,5.0,DEF,2
Mykolenko,5.0,DEF,2
N.Williams,5.0,DEF,2
O'Brien,5.0,DEF,2
O’Reilly,5.0,DEF,2
Robinson,5.0,DEF,2
Romero,5.0,DEF,2
Sosa,5.0,DEF,2
Trippier,5.0,DEF,2
Tsimikas,5.0,DEF,2
Vitor Reis,5.0,DEF,2
Zabarnyi,5.0,DEF,2
Zinchenko,5.0,DEF,2
Agbadou,4.5,DEF,2
Ajer,4.5,DEF,2
Andersen,4.5,DEF,2
Aznou,4.5,DEF,2
B.Badiashile,4.5,DEF,2
Ballard,4.5,DEF,2
Bassey,4.5,DEF,2
Bogle,4.5,DEF,2
Boscagli,4.5,DEF,2
Cash,4.5,DEF,2
Castagne,4.5,DEF,2
Coleman,4.5,DEF,2
Coppola,4.5,DEF,2
D.Leon,4.5,DEF,2
Dalot,4.5,DEF,2
Danso,4.5,DEF,2
David Carmo,4.5,DEF,2
Davies,4.5,DEF,2
De Cuyper,4.5,DEF,2
Digne,4.5,DEF,2
Diop,4.5,DEF,2
Diouf,4.5,DEF,2
Doherty,4.5,DEF,2
Dorgu,4.5,DEF,2
Dragusin,4.5,DEF,2
Dunk,4.5,DEF,2
Emerson,4.5,DEF,2
Estupiñan,4.5,DEF,2
F.Kadıoğlu,4.5,DEF,2
Fofana,4.5,DEF,2
Guéhi,4.5,DEF,2
H.Bueno,4.5,DEF,2
Henry,4.5,DEF,2
Hume,4.5,DEF,2
Igor,4.5,DEF,2
J.Cuenca,4.5,DEF,2
Jair Cunha,4.5,DEF,2
Kayode,4.5,DEF,2
Keane,4.5,DEF,2
Kilman,4.5,DEF,2
Konsa,4.5,DEF,2
Krafth,4.5,DEF,2
Lamptey,4.5,DEF,2
Lascelles,4.5,DEF,2
M.Sarr,4.5,DEF,2
Maatsen,4.5,DEF,2
Maguire,4.5,DEF,2
Mavropanos,4.5,DEF,2
Mings,4.5,DEF,2
Morato,4.5,DEF,2
Mosquera,4.5,DEF,2
N.Aguerd,4.5,DEF,2
O.Richards,4.5,DEF,2
Patterson,4.5,DEF,2
Pau,4.5,DEF,2
Pinnock,4.5,DEF,2
R.Gomes,4.5,DEF,2
Richards,4.5,DEF,2
Roberts,4.5,DEF,2
Roerslev,4.5,DEF,2
S.Bueno,4.5,DEF,2
Scarles,4.5,DEF,2
Senesi,4.5,DEF,2
Shaw,4.5,DEF,2
Smith,4.5,DEF,2
Spence,4.5,DEF,2
Struijk,4.5,DEF,2
Tete,4.5,DEF,2
Todibo,4.5,DEF,2
Tosin,4.5,DEF,2
Toti,4.5,DEF,2
Truffert,4.5,DEF,2
Udogie,4.5,DEF,2
Van de Ven,4.5,DEF,2
Van den Berg,4.5,DEF,2
Van Hecke,4.5,DEF,2
Veltman,4.5,DEF,2
Walker,4.5,DEF,2
Walker-Peters,4.5,DEF,2
Wan-Bissaka,4.5,DEF,2
Webster,4.5,DEF,2
Yoro,4.5,DEF,2
A.García,4.0,DEF,2
A.Murphy,4.0,DEF,2
Abbott,4.0,DEF,2
Acheampong,4.0,DEF,2
Akinmboni,4.0,DEF,2
Alese,4.0,DEF,2
Alex Moreno,4.0,DEF,2
Amass,4.0,DEF,2
Amissah,4.0,DEF,2
Anderson,4.0,DEF,2
Anselmino,4.0,DEF,2
Arthur,4.0,DEF,2
Ashby,4.0,DEF,2
Bevan,4.0,DEF,2
Bijol,4.0,DEF,2
